,region,EWCL,perspective,value
104,山东,Energy,本地（消费视角）,150.1602770621063
105,河南,Energy,本地（消费视角）,78.73810177817202
106,湖北,Energy,本地（消费视角）,69.80261247216477
107,湖南,Energy,本地（消费视角）,57.83259115962875
108,广东,Energy,本地（消费视角）,88.35527895869983
109,广西,Energy,本地（消费视角）,36.07790525620914
110,海南,Energy,本地（消费视角）,8.445080604812667
111,重庆,Energy,本地（消费视角）,33.57574944518447
112,四川,Energy,本地（消费视角）,68.49554656281278
113,贵州,Energy,本地（消费视角）,29.689013572789104
114,云南,Energy,本地（消费视角）,37.083737517773834
115,陕西,Energy,本地（消费视角）,36.17490544231616
116,甘肃,Energy,本地（消费视角）,12.47529512155144
117,青海,Energy,本地（消费视角）,7.113937347818373
118,宁夏,Energy,本地（消费视角）,9.222498971624375
119,新疆,Energy,本地（消费视角）,19.014770734653162
120,北京,Energy,国内（消费视角）,47.84880785687792
121,天津,Energy,国内（消费视角）,52.80490386775184
122,河北,Energy,国内（消费视角）,77.48954567493553
123,山西,Energy,国内（消费视角）,24.34389577535404
124,内蒙古,Energy,国内（消费视角）,39.47639669646457
125,辽宁,Energy,国内（消费视角）,42.35345260024307
126,吉林,Energy,国内（消费视角）,62.33878833936126
127,黑龙江,Energy,国内（消费视角）,41.45219289564321
128,上海,Energy,国内（消费视角）,69.19131831806676
129,江苏,Energy,国内（消费视角）,85.89042948942964
130,浙江,Energy,国内（消费视角）,78.12674430164265
131,安徽,Energy,国内（消费视角）,33.29759237117505
132,福建,Energy,国内（消费视角）,24.368435145640994
133,江西,Energy,国内（消费视角）,29.482064959273483
134,山东,Energy,国内（消费视角）,74.19696916097149
135,河南,Energy,国内（消费视角）,66.81403667924663
136,湖北,Energy,国内（消费视角）,20.374318066839145
137,湖南,Energy,国内（消费视角）,30.52509172683647
138,广东,Energy,国内（消费视角）,89.452644554768
139,广西,Energy,国内（消费视角）,27.59677363843284
140,海南,Energy,国内（消费视角）,2.307383575067928
141,重庆,Energy,国内（消费视角）,19.702379577032787
142,四川,Energy,国内（消费视角）,22.918523007293015
143,贵州,Energy,国内（消费视角）,14.922523747812535
144,云南,Energy,国内（消费视角）,25.0497640521237
145,陕西,Energy,国内（消费视角）,43.35294645086373
146,甘肃,Energy,国内（消费视角）,4.55486502610429
147,青海,Energy,国内（消费视角）,1.648888735734928
148,宁夏,Energy,国内（消费视角）,2.8437261032705226
149,新疆,Energy,国内（消费视角）,6.834644534611183
150,北京,Energy,国际（消费视角）,17.34933356952016
151,天津,Energy,国际（消费视角）,14.072262432150008
152,河北,Energy,国际（消费视角）,22.464360650372125
153,山西,Energy,国际（消费视角）,10.970941338636235
154,内蒙古,Energy,国际（消费视角）,14.18586918556358
155,辽宁,Energy,国际（消费视角）,22.584865837207015
156,吉林,Energy,国际（消费视角）,12.778709816375143
157,黑龙江,Energy,国际（消费视角）,12.552035436970126
158,上海,Energy,国际（消费视角）,21.294077839228656
159,江苏,Energy,国际（消费视角）,46.758784579241855
160,浙江,Energy,国际（消费视角）,31.785736238908388
161,安徽,Energy,国际（消费视角）,14.850190363618433
162,福建,Energy,国际（消费视角）,15.356419460947853
163,江西,Energy,国际（消费视角）,11.74667657532925
164,山东,Energy,国际（消费视角）,57.379869468014654
165,河南,Energy,国际（消费视角）,31.465698549453542
166,湖北,Energy,国际（消费视角）,15.240426288306574
167,湖南,Energy,国际（消费视角）,15.714121024132579
168,广东,Energy,国际（消费视角）,42.48376463725391
169,广西,Energy,国际（消费视角）,12.563972276442831
170,海南,Energy,国际（消费视角）,2.106851389831578
171,重庆,Energy,国际（消费视角）,8.308981050453214
172,四川,Energy,国际（消费视角）,18.52333596193439
173,贵州,Energy,国际（消费视角）,5.3559805465188095
174,云南,Energy,国际（消费视角）,10.660751744526582
175,陕西,Energy,国际（消费视角）,13.330707089758686
176,甘肃,Energy,国际（消费视角）,
177,青海,Energy,国际（消费视角）,
178,宁夏,Energy,国际（消费视角）,
179,新疆,Energy,国际（消费视角）,
,region,EWCL,perspective,value
0,北京,Water,本地（生产视角）,1696.391808525782
1,天津,Water,本地（生产视角）,1454.2205846265008
2,河北,Water,本地（生产视角）,23640.707190602585
3,山西,Water,本地（生产视角）,12796.820265056998
4,内蒙古,Water,本地（生产视角）,17240.987800413084
5,辽宁,Water,本地（生产视角）,18897.656486302934
6,吉林,Water,本地（生产视角）,9349.601615012538
7,黑龙江,Water,本地（生产视角）,24837.939612511098
8,上海,Water,本地（生产视角）,5633.438680761441
